feeder_id,feeder_name,density,frequency_khz,geometry,rms_abs_v_disc,rms_abs_v_two_level_branch,p95_abs_v_disc,p95_abs_v_two_level_branch,p99_abs_v_disc,p99_abs_v_two_level_branch,rel_diff_rms,rel_diff_p95,rel_diff_p99
A,urban_short,6.0,44.0,two_level_branch,0.01554810587045789,0.017772548124760982,0.02880811523105712,0.032853945845212125,0.03826874985836251,0.04359395213194915,0.143068375841821,0.14044065645062828,0.1391527628494761
A,urban_short,6.0,45.0,two_level_branch,0.015484864324453956,0.017672229696400255,0.028940149115186026,0.032815465386222833,0.03854427652240268,0.04350198003975858,0.1412582846135742,0.133907957958768,0.12862359770780465
A,urban_short,6.0,46.0,two_level_branch,0.015279316736432128,0.017459099958217743,0.02833842510229494,0.0323480159773493,0.03848491588099644,0.04327361481558042,0.1426623493305903,0.1414895450463706,0.12443054180998234
A,urban_short,6.0,47.0,two_level_branch,0.015435651374463483,0.017704625523948744,0.028621681838662906,0.03279066715760916,0.03910029464009873,0.04513564321296835,0.14699568514737374,0.1456582929838413,0.15435557783956322
A,urban_short,6.0,48.0,two_level_branch,0.015307284030687037,0.017528962736647148,0.028358699652525937,0.032477843130045876,0.03840480634679179,0.04372704519657523,0.145138660882377,0.14525149347435057,0.1385826243133248
A,urban_short,6.0,49.0,two_level_branch,0.015443869551553465,0.01777558625809917,0.028643799064830916,0.032943100196331065,0.037733796058949574,0.04413870021946455,0.1509800829877615,0.15009535298614998,0.16973919481911967
A,urban_short,6.0,50.0,two_level_branch,0.01534027234267013,0.01759939335254866,0.028515449427240363,0.03272074568425519,0.03774235165916993,0.04327431774163192,0.14726733394390995,0.1474743109956939,0.14657184407633334
A,urban_short,6.0,51.0,two_level_branch,0.015255397401825434,0.0175320872558817,0.028455996272217992,0.03260478497414924,0.037591235515701725,0.043094129895833784,0.14923831835307289,0.14579664202380324,0.1463876966170351
A,urban_short,6.0,52.0,two_level_branch,0.015378167404942864,0.017637668567796444,0.02843869795188405,0.032867002591650527,0.039126039133446464,0.044953536515043184,0.1469291563393522,0.15571404314145487,0.14894166418739657
A,urban_short,6.0,53.0,two_level_branch,0.015303318933444953,0.017565535630050907,0.0285903886210788,0.032958984850081315,0.03806288632658885,0.043897121695776885,0.14782523362706285,0.15279947002125338,0.15327884803923886
A,urban_short,6.0,54.0,two_level_branch,0.015164532396474664,0.017441723433526898,0.02813504476306735,0.032541878439252804,0.038028268263104424,0.04385660705088785,0.15016559545097602,0.15663147911427067,0.15326332367961554
A,urban_short,6.0,55.0,two_level_branch,0.015016976515901776,0.017255119039805932,0.027596637864939773,0.03172356285039761,0.037008360493288414,0.04311797289939079,0.14904082200129584,0.14954448457291608,0.16508735660447243
A,urban_short,6.0,56.0,two_level_branch,0.015121488643543521,0.017358945034698856,0.02861375297635192,0.032467468954892206,0.038312538492913537,0.04342868065715895,0.14796535208262512,0.13468054965474904,0.13353701857139325
A,urban_short,6.0,57.0,two_level_branch,0.015055241982628153,0.017298526230244055,0.027812346628810748,0.032410406029606084,0.037488627928273746,0.04286166500542216,0.14900353313512785,0.16532439574991548,0.1433244526160985
A,urban_short,6.0,58.0,two_level_branch,0.014821195201380335,0.01712342335322569,0.027696024010316418,0.03192872757284691,0.036550744235841925,0.04243147719807221,0.1553335018238572,0.15282711919060538,0.16089229057239254
A,urban_short,6.0,59.0,two_level_branch,0.014883039965283982,0.01714350173977492,0.0279633512249347,0.03185194029830776,0.03765104455527809,0.043492356766726394,0.15188172441676345,0.13906019497068142,0.15514343042653897
A,urban_short,6.0,60.0,two_level_branch,0.01494777364693398,0.017194768725591298,0.02784591242820572,0.03202825926668643,0.03773044806541094,0.04297966213309353,0.15032306025842262,0.15019607812327684,0.1391240851044852
A,urban_short,6.0,61.0,two_level_branch,0.014709378537783332,0.016945120901002354,0.027081266320554596,0.03144808845471132,0.03720097713772465,0.04208188854173063,0.15199434547667454,0.16124881615459474,0.13120384945631883
A,urban_short,6.0,62.0,two_level_branch,0.014812862431178759,0.017029571065157796,0.028004272829682996,0.03195536234436393,0.03777436414085579,0.04267274825349017,0.14964755423051876,0.14108880950813307,0.1296748264079027
A,urban_short,6.0,63.0,two_level_branch,0.014665801691325506,0.016879507570258794,0.02706536594155225,0.030964891949960223,0.036566325913706885,0.04176068912671143,0.1509433937213705,0.14407808181234322,0.14205318919004215
A,urban_short,6.0,64.0,two_level_branch,0.014790536006605662,0.017074287162424803,0.027646358063187482,0.031858169806221505,0.03713883108367605,0.04310253821262415,0.15440624699464478,0.15234598833624535,0.16057875153667345
A,urban_short,6.0,65.0,two_level_branch,0.014719477697117542,0.016935014538725666,0.027303695414130323,0.03157096933922508,0.03793498580701733,0.04288909660002326,0.15051735443316605,0.15628924438141595,0.13059477122802832
A,urban_short,6.0,66.0,two_level_branch,0.014548342318673222,0.01679394426254901,0.02694742511889688,0.03114230079357741,0.03651774163136563,0.041949252074414176,0.15435448896425064,0.15566888695940284,0.14873620876881766
A,urban_short,6.0,67.0,two_level_branch,0.014525209830054347,0.016698456717090356,0.026879486695205727,0.03104150003308756,0.037155793888472746,0.04185462391817048,0.1496189667800398,0.15483976256972856,0.12646291568420778
A,urban_short,6.0,68.0,two_level_branch,0.014459535604531157,0.016600520832664417,0.026631458218611053,0.030643528727447043,0.0359530053491025,0.041526251154202776,0.14806735753410669,0.15065155185652607,0.15501474079800123
A,urban_short,6.0,69.0,two_level_branch,0.014423427260606128,0.016580516267698065,0.026680412842602204,0.030687430270984584,0.03539467978227094,0.040583783809834136,0.1495545384683618,0.15018573558142762,0.14660689288570417
A,urban_short,6.0,70.0,two_level_branch,0.014366481827600803,0.01653237645446627,0.026688858344844624,0.030713904977298458,0.03634650384522985,0.0410669424640603,0.1507602663516662,0.15081374333988082,0.1298732510541029
