feeder_id,feeder_name,density,frequency_khz,geometry,rms_abs_v_disc,rms_abs_v_star_branch,p95_abs_v_disc,p95_abs_v_star_branch,p99_abs_v_disc,p99_abs_v_star_branch,rel_diff_rms,rel_diff_p95,rel_diff_p99
A,urban_short,6.0,72.0,star_branch,0.014240939186624679,0.015565046480837669,0.026508243767559142,0.028977263388984698,0.03555893890271701,0.03906811179082407,0.09297893045260762,0.0931415767515745,0.09868609684072792
A,urban_short,6.0,73.0,star_branch,0.014425794842620993,0.015737294717880965,0.026936770329146553,0.02920342014740923,0.03582394873954832,0.03958183805202738,0.09091352605300805,0.0841470521731435,0.10489880218956671
A,urban_short,6.0,74.0,star_branch,0.014268390201345255,0.015577712281501769,0.0265321388747163,0.0290358382239297,0.03517681984152682,0.03858232691125996,0.09176382630978704,0.09436477628267241,0.09681111268941052
A,urban_short,6.0,75.0,star_branch,0.014233952700894984,0.015553865496783665,0.026261675140270106,0.028910237476364814,0.0362777873715673,0.0398106443003114,0.092729884918452,0.10085275680047373,0.09738347304811039
A,urban_short,6.0,76.0,star_branch,0.014217202386497438,0.015580659704342567,0.026187160823297768,0.028671516899547066,0.036133523900574775,0.039848582238503405,0.09590194194183033,0.09486924119086086,0.10281472540987165
A,urban_short,6.0,77.0,star_branch,0.014123276000211663,0.015428186010985574,0.026497266069954263,0.02901976802447631,0.035301971783333816,0.03864788290429501,0.09239428661978667,0.09519857436848397,0.09477972339609678
A,urban_short,6.0,78.0,star_branch,0.013879249772391767,0.015170777021376272,0.02554426252096137,0.027922993323205914,0.03474641076297889,0.037904136350442895,0.09305454330489657,0.09312192122566001,0.09087918775278098
A,urban_short,6.0,79.0,star_branch,0.014344426517033026,0.01567932160817102,0.026915204766164248,0.029421280079695272,0.03666108242126538,0.03984919677441639,0.09306019237178267,0.09311002220876549,0.08696181734398903
A,urban_short,6.0,80.0,star_branch,0.014062372587198394,0.015379096189129693,0.026247065144856356,0.028652543377280543,0.03498157410961326,0.03863498705978883,0.0936345267319948,0.0916475125561072,0.104438209061941
A,urban_short,6.0,81.0,star_branch,0.01411159641234443,0.015433073579038342,0.026065578365964022,0.02859331159444427,0.03499583867799984,0.03843846810577507,0.09364476761381303,0.09697591179411232,0.09837253678790805
A,urban_short,6.0,82.0,star_branch,0.014019754238708779,0.015302561764186526,0.02600215161756947,0.028485131897135696,0.0352642389743378,0.038782941758746484,0.09150000090129208,0.09549133918165814,0.09978104977592976
A,urban_short,6.0,83.0,star_branch,0.014105678751595052,0.01539863498835578,0.02626526634062189,0.0288853131199474,0.035537264411271044,0.03874601869475103,0.0916621071222484,0.09975329187023474,0.09029266423957752
A,urban_short,6.0,84.0,star_branch,0.013965574375716027,0.015255979386871751,0.025968905289475198,0.02833059042278797,0.03409057144989195,0.03763260769277315,0.09239899315559395,0.09094280667540991,0.10390075883848014
A,urban_short,6.0,85.0,star_branch,0.013883430001689918,0.015185711149635229,0.025963552960987735,0.028343406002616846,0.0339992179534571,0.03699369665660411,0.09380111022901365,0.09166130094771799,0.08807492887766624
A,urban_short,6.0,86.0,star_branch,0.013984823848953692,0.015233630888870548,0.025816361579162346,0.028450012647481888,0.035048771015937924,0.03774492775672332,0.0892973020901002,0.10201480407081419,0.07692585681704382
A,urban_short,6.0,87.0,star_branch,0.013801776054217573,0.015036373777195172,0.025760648462679663,0.02815207028415178,0.03417777474989973,0.037008930788604094,0.08945209066773169,0.09283236114714473,0.08283617232022028
A,urban_short,6.0,88.0,star_branch,0.013880263928122633,0.015143619804656474,0.026148439994156048,0.028739457026353055,0.03464069169034543,0.038197687407742854,0.09101814512144622,0.09908878054584046,0.10268258351171385
A,urban_short,6.0,89.0,star_branch,0.01383727957916639,0.015089031366883096,0.025774517482988268,0.028085248038154785,0.03417645393459614,0.03723592229692273,0.0904622747957888,0.08965174834763245,0.08951977195122486
A,urban_short,6.0,90.0,star_branch,0.013859785546950828,0.015109191805760595,0.02541916719845249,0.027765416906494245,0.034337626448862776,0.03768253155874497,0.09014614653144024,0.09230238306881251,0.09741224003539055
A,urban_short,6.0,91.0,star_branch,0.013833959110563777,0.015047212829262944,0.025598269313285606,0.02777544631654181,0.03456523963512486,0.03789243060758256,0.08770112077118343,0.08505172660740153,0.09625829323273777
A,urban_short,6.0,92.0,star_branch,0.013714039350095075,0.014918757032697728,0.025718850971304115,0.028077232312879053,0.03405851345823354,0.03730514173472053,0.08784557575258091,0.09169854999378896,0.0953250141251284
A,urban_short,6.0,93.0,star_branch,0.013778064248783608,0.015008458611008288,0.025512687709289772,0.027874966478192865,0.034829801981421306,0.037564476237380635,0.08930095984516148,0.09259231311967697,0.07851535467867553
A,urban_short,6.0,94.0,star_branch,0.013717950133770165,0.014900041222731902,0.025638204934794934,0.027756572854749778,0.03403089438078795,0.03677156525636803,0.08617111721755892,0.08262543829969538,0.08053478832831733
A,urban_short,6.0,95.0,star_branch,0.013667296030968609,0.014832901594760617,0.025271117721318265,0.027694313549111376,0.03364164025083868,0.036787648282317495,0.08528428455422875,0.09588795614485016,0.09351529854137802
A,urban_short,6.0,96.0,star_branch,0.013721114653380356,0.014902218813244994,0.025536090614876904,0.027623454497733107,0.03373612454645698,0.036826790424156285,0.08607931568982691,0.08174171662909668,0.09161294959778916
